Broker_ID,orgUserId,Business Abbrevation,Stage of Life,Book Name,Funding_Source,templateId,Aggregator,aggregatorId
67,117,Cube,Runoff,CUBEF,TPS,98,FAST,2
80,83,Clique,Runoff,CPF,SPV1,104,Finsure,15
46,76,2020,Maintenance,2020 Home Loans,SPV 4,100,AFG,11
68,95,MMB,Runoff,MMBA,SPV1,100,AFG,11
72,84,Bwealthy,Runoff,BWA,SPV1,100,AFG,11
61,97,NVC,Runoff,Norman,SPV1,104,Finsure,15
71,86,Fifth,Runoff,Impresario,SPV1,100,AFG,11
76,91,MoneyMerchants,Runoff,MMA,SPV4,100,AFG,11
75,87,FirstChoice,Maintenance,FCP,SPV1,97,Plan,3
56,106,WIW,Accumuation,WIWF,SPV4,100,AFG,11
13,108,Adapt,Accumuation,ALA,Direct,100,AFG,11
47,89,InfiniteLending,Accumuation,Fleurieu,SPV4,98,FAST,2
45,77,A2B,Accumulation,A2BC,SPV 1,101,Connective,12
37,78,Akorin,Accumulation,AC,SPV3,101,Connective,12
23,79,AusV,Maintenance,AUSC,SPV1,101,Connective,12
25,96,NQNF,Accumuation,NQNFC,SPV4,101,Connective,12
65,118,EFS,Runoff,EFSF,TPS,104,Finsure,15
26,80,BPJ,Accumuation,LCA,SPV3,101,Connective,12
29,88,Fox,Accumuation,FMC,SPV1,101,Connective,12
10,118,EFS,Runoff,EFSL,TPS,104,Finsure,15
24,98,PI,Accumuation,PIFC,SPV3,101,Connective,12
78,120,FirstStart,Accumuation,FSMF,TPS,104,Finsure,15
6,110,ARK,Maintenance,ARKI,TPS,106,IDEN,17
51,81,CCDL,Accumuation,CCDLC,SPV4,,Choice,37
48,99,Lighthouse,Maintenance,LFSL,SPV3,107,LoanKit,18
33,90,Sukkar,Accumuation,KJC,SPV1,101,Connective,12
53,92,KeyInvest,Maintenance,KIC,SPV4,101,Connective,12
55,94,Megonne,Maintenance,MC,SPV4,101,Connective,12
79,100,QFinancial,Accumuation,QFC,SPV1,101,Connective,12
27,103,SRJDA,Runoff,SPC,SPV4,101,Connective,12
31,107,Majestic,Maintenance,MFSC,SPV3,101,Connective,12
19,109,AA,Runoff,AAC,TPS,101,Connective,12
52,112,BLHL,Runoff,BLHLC,TPS,101,Connective,12
41,82,Leahy,Maintenance,CLL,SPV3,108,LMK,19
15,119,FTF,Runoff,FTFC,TPS,101,Connective,12
74,85,JX3,Accumuation,JX3L,SPV1,108,LMK,19
77,105,WEA,Accumuation,WGL,SPV1,108,LMK,19
70,114,Coffey,Runoff,CLL,TPS,108,LMK,19
30,115,CF,Maintenance,CFM,Direct,111,MMBS,22
63,101,RFS,Accumuation,RFSO,SPV1,112,OFS,23
62,102,Spitzen,Runoff,SPLV,SPV1,117,VOW,28
14,111,AF,Maintenance,AFAF,Direct,119,ArchFinance,31
16,113,CGF,Accumuation,CGFV,Direct,,Vision,27
7,124,LLL,Runoff,LLLF,TPS,98,FAST,2
18,127,SandcastleFinance,Runoff,SFA,Direct,100,AFG,11
69,116,Beattie,Accumuation,BEAC,TPS,101,Connective,12
54,123,FFS,Runoff,LoanNav,TPS,101,Connective,12
2,123,FFS,Maintenance,FFSTT,TPS,101,Connective,12
58,123,FFS,Runoff,Angel,TPS,101,Connective,12
11,125,PFP,Runoff,PFPC,TPS,101,Connective,12
9,126,RIGGS,Accumuation,RIGGSV,Direct,117,VOW,28
32,128,Zippy,Accumuation,ZC,Direct,,Choice,37